Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
20-09-2022,Airport,Arrival,3557,1406,427,5390
20-09-2022,Airport,Departure,3981,1480,396,5857
20-09-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
20-09-2022,Express Rail Link West Kowloon,Departure,0,0,0,0
20-09-2022,Hung Hom,Arrival,0,0,0,0
20-09-2022,Hung Hom,Departure,0,0,0,0
20-09-2022,Lo Wu,Arrival,0,0,0,0
20-09-2022,Lo Wu,Departure,0,0,0,0
20-09-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
20-09-2022,Lok Ma Chau Spur Line,Departure,0,0,0,0
20-09-2022,Heung Yuen Wai,Arrival,0,0,0,0
20-09-2022,Heung Yuen Wai,Departure,0,0,0,0
20-09-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,165,48,34,247
20-09-2022,Hong Kong-Zhuhai-Macao Bridge,Departure,210,144,25,379
20-09-2022,Lok Ma Chau,Arrival,0,0,0,0
20-09-2022,Lok Ma Chau,Departure,0,0,0,0
20-09-2022,Man Kam To,Arrival,0,0,0,0
20-09-2022,Man Kam To,Departure,0,0,0,0
20-09-2022,Sha Tau Kok,Arrival,0,0,0,0
20-09-2022,Sha Tau Kok,Departure,0,0,0,0
20-09-2022,Shenzhen Bay,Arrival,1415,263,20,1698
20-09-2022,Shenzhen Bay,Departure,1095,320,32,1447
20-09-2022,China Ferry Terminal,Arrival,0,0,0,0
20-09-2022,China Ferry Terminal,Departure,0,0,0,0
20-09-2022,Harbour Control,Arrival,0,0,0,0
20-09-2022,Harbour Control,Departure,0,0,0,0
20-09-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
20-09-2022,Kai Tak Cruise Terminal,Departure,0,0,0,0
20-09-2022,Macau Ferry Terminal,Arrival,0,0,0,0
20-09-2022,Macau Ferry Terminal,Departure,0,0,0,0
21-09-2022,Airport,Arrival,2832,1645,344,4821
21-09-2022,Airport,Departure,3189,1031,333,4553
21-09-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
21-09-2022,Express Rail Link West Kowloon,Departure,0,0,0,0
21-09-2022,Hung Hom,Arrival,0,0,0,0
21-09-2022,Hung Hom,Departure,0,0,0,0
21-09-2022,Lo Wu,Arrival,0,0,0,0
21-09-2022,Lo Wu,Departure,0,0,0,0
21-09-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
21-09-2022,Lok Ma Chau Spur Line,Departure,0,0,0,0
21-09-2022,Heung Yuen Wai,Arrival,0,0,0,0
21-09-2022,Heung Yuen Wai,Departure,0,0,0,0
21-09-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,162,55,35,252
21-09-2022,Hong Kong-Zhuhai-Macao Bridge,Departure,193,162,20,375
21-09-2022,Lok Ma Chau,Arrival,0,0,0,0
21-09-2022,Lok Ma Chau,Departure,0,0,0,0
21-09-2022,Man Kam To,Arrival,0,0,0,0
21-09-2022,Man Kam To,Departure,0,0,0,0
21-09-2022,Sha Tau Kok,Arrival,0,0,0,0
21-09-2022,Sha Tau Kok,Departure,0,0,0,0
21-09-2022,Shenzhen Bay,Arrival,1317,305,20,1642
21-09-2022,Shenzhen Bay,Departure,1130,333,22,1485
21-09-2022,China Ferry Terminal,Arrival,0,0,0,0
21-09-2022,China Ferry Terminal,Departure,0,0,0,0
21-09-2022,Harbour Control,Arrival,0,0,0,0
21-09-2022,Harbour Control,Departure,0,0,0,0
21-09-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
21-09-2022,Kai Tak Cruise Terminal,Departure,0,0,0,0
21-09-2022,Macau Ferry Terminal,Arrival,0,0,0,0
21-09-2022,Macau Ferry Terminal,Departure,0,0,0,0
22-09-2022,Airport,Arrival,3492,1194,432,5118
22-09-2022,Airport,Departure,3057,1154,303,4514
22-09-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22-09-2022,Express Rail Link West Kowloon,Departure,0,0,0,0
22-09-2022,Hung Hom,Arrival,0,0,0,0
